,asin,rating,date,combined_text
0,B000G6RYNE,4,04/25/2012,"Hard Great if you are cutting back on fat, they do resemble regular chips but are nothing like them. Extremely dry and hard."
1,B000G6RYNE,5,04/16/2012,"Kettle potato chips: Fully loaded baked potato I have never met a Kettle brand chip I did not like. These chips have a great loaded potato flavor, which are flavorful. I like the sweet onion chips better, but these are also at the top of the list for great-tasting potato chips. Kettle chips are great chips f/the money!"
2,B000G6RYNE,5,04/12/2012,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product. After buying bags one at a time (at a hefty markup) at nearby stores, I decided to try bulk ordering some snack foods on Amazon. I was very pleased with the price and the products.These jalapeno kettle chips are not overly spicy; they have a slow-building spice that starts very subtly a grows if you eat the whole bag, which I'm embarrassed to say I did quite a few times.The chips arrived well-packed and fresh. They had nearly a year of time before they expired, which is pretty impressive for chips.Most importantly, the price-per-bag was much, MUCH better than any local store could do, although I live near an expensive city, so that may play a role in the price difference.I wouldn't hesitate to order another box of these once I run out."
3,B000G6RYNE,4,04/09/2012,"glad to find them in 1 oz size I buy mostly for vending, so the size of the bag is important. Kettle's 1 oz bag is a good size although it seems a bit less than full. Salt & Vinegar flavor is satisfying, about an 8 out of 10."
4,B000G6RYNE,4,04/09/2012,"pretty good, could be better Glad to find these in a one ounce size but the bag seems a bit less than full. It's hard to find single serving chip bags that vend well. Sometimes they are too wide. or too plump with air. Bag size is good. BBQ flavor is about an 8 out of 10."
5,B000G6RYNE,5,04/05/2012,"a slight taste of jalapeno one of the best chips that you can buy...and i've tried all the kettle varieties, and many others. There's only a slight taste of jalapeno, and they are delicious. Perfect with a sandwich or alone.If you like being addicted, these are the chip for you. ...See you at addicts anonymous..."
6,B000G6RYNE,5,03/15/2012,"Best chips ever The title says it all. Great flavor, hint of spice, excellent crunch. We eat Kettle chips by the truck load at my house, we like all the flavors but this one far and away is our favorite, never enough bags to get us to our next shipment. I just wish Amazon could get the larger bags on subscribe and save! If you buy these make sure you have enough for everyone otherwise you may not get enough for yourself!!!"
7,B000G6RYNE,5,03/06/2012,"Kettle potato chips: Sweet onion WOW! I have eaten quite a few potato chips in my day. Kettle chips are the BEST non-baked chips I have eaten. I decided to try the sweet onion chips, since I've never had them. I now have a FAVORITE!! If you like onions, this is a MUST buy! I will definitely reorder these, as I mentioned above, they are the BEST I have ever eaten! The flavor is GREAT."
8,B000G6RYNE,5,03/04/2012,"Ridiculously Good I cannot say how much I love Kettle brand potato chips. Kettle brand has a large variety of unique flavors, and the quality of the chips themselves blows all other potato chips out of the water. The ingredients list is printed on each bag and the only thing really bad for it is the oil they are frying the chips in. I love that these aren't filled with nasty chemicals. I ordered the cheddar and sour cream krinkle cut ones which are great but I was torn between the Kettle Brand Potato Chips Fully Loaded Baked Potato, 2-Ounce (Pack of 24) and the Jalapeno flavor. While I know the jalapeno flavor is good but this is way better. They include liquid smoke instead of actual bacon which I'm fine with since I've a vegetarian. I ordered this to give to guests coming from out of town for my wedding this spring and I can't guarantee how many I will have left. My fiance and I love these. The packaging is perfect for anyone who is giving these to kids to take for school lunches, or handing out in gift bags, even just for portion control."
9,B000G6RYNE,5,01/29/2012,"Delicious! Now, I haven't done a side-by-side comparison, but these chips still taste like the real deal. These snack sized bags do as well as the regular brand at the grocery store I work for. Portion control AND reduced fat? Yes, please! With the Subscribe & Save these are much cheaper than at the grocery store."
10,B000G6RYNE,4,01/23/2012,"PUCKER UP I love Kettle Brand Chips!I've been in love with the Honey Dijon for years and decided to try out their other flavors.Sea Salt & Vinegar Chips are TANGY, SOUR, and make my lips pucker when I eat too many at a time. I got 12 big bags for a steal from amazon ($11 WHAT?!?).Personally, the flavor is too much for me, but my mom & aunt LOVE them and they hate potato chips."
11,B000G6RYNE,5,01/15/2012,I love these chips. They are thick and crunchy! These chips are thick and crunchy. I absolutely love them. The taste is perfect. I like to buy these smaller bags because I cant trust myself with a large bag of these because they taste no good.
