,asin,rating,title,text,date
0,B001RVFDOO,5,yummy,"These chips are wonderful.  My kids and I all loved the salt and pepper.<br />Each .8 oz bag was 100 calories, lots of chips for the calorie count.",2012-02-12
1,B001RVFDOO,5,Great Item,"Great packaging, and item is just as described. Will purchase this item again. They were shipped very fast, and efficient.",2012-02-12
2,B001RVFDOO,5,Excellent chips,"Just to give a little background - I ordered these because they were a great deal for a box of single serving chips and I thought I would give them a try.  The variety of flavors in this package was great and I enjoy most of them.  These chips leave a lot less mess than your average bags of potato chips and there are very few crumbs in the bag.  It is apparent these are not prepared like normal chips and the result is a differently textured chip.  It will be a personal taste as to whether or not you will like the taste and texture, but, I would highly recommend trying these out.",2012-02-11
3,B001RVFDOO,5,Perfect for WW followers,Got this item on a one-day-only sale on Amazon.  Love having the single-serving portion as I am following WW plan.  Only 3 points plus per serving.  Tasty and on the same line as the Special K crackers.  The variety is nice to have and the box will last for awhile.  Cheddar and BBQ are my favorites.  Try them...,2012-02-10
4,B001RVFDOO,5,"Variety pack, packed lunches","I discovered Pop Chips awhile back and fell in love with the BBQ flavor- whole lotta flavor and satisfying snack or chip alternative. Hubby is a teacher, so he gets lunches made most days with healthier and tastier options than what is offered at school.<br /><br />Since I mix up his sandwiches offerings from week to week, I thought the variety pack would be different for him. He gets his crunchy fun and doesn't realize the Pop Chips aren't as bad for you than the reduced fat kettle chips he was getting. Score! Plain are fine, vinegar pack a tart punch and he really likes the salt and pepper flavor. Single serve size does leave you wanting more if consuming solo, but gives a good amount when enjoying with a sandwich.",2012-02-06
5,B001RVFDOO,4,Loved all the flavor except salt and pepper!,I really liked these chips as did my entire family. I wish you could pick and choose the flavors in the variety pack. I would love to try the sweet potato and chili lime and leave the salt and pepper behind.,2012-02-06
6,B001RVFDOO,3,chips,These popchips were something I wanted to try because they were baked. The barbeque ones were okay but the rest of them were terrible.,2012-02-06
7,B001RVFDOO,4,Good as a sampler pack of the various flavors,"I like these Pop Chips a lot, but not all the flavors.  This variety pack makes a good sampler of the various flavors and then you can purchase the flavors you like.  These chips have strong flavor and are not greasy.  They are fairly filling and make a great snack.  They're pretty noisy (like most chips) so don't take 'em to the local theater!<br /><br />These came well packed and they are in stay fresh packaging.  I can attest that they do keep well for a pretty long time as I found a bag that had gotten pushed behind some other things, and after several months it still tasted fine.  ;)<br /><br />These are a pretty good size for a quick snack.  Quality has been consistent over several different batches.  I really like the texture and crunch, and love the lack of greasiness.",2012-02-03
8,B001RVFDOO,5,These tastes pretty good,"These tastes good. If it's not fried, not bad for you, and tastes good, then why not eat them? Of course, not a lot at once, but these are great healthier snacks.",2012-01-31
9,B001RVFDOO,2,Didn't care for the variety selections,"I bought two bags of PopChips at Whole Foods (Original and Barbeque)and loved them.  When I went to Amazon to order lots more, I liked the idea of single serving bags rather than the larger ones, which I'd consume too quickly.  I knew I was taking a risk but when the order came, I really disliked about half of the flavors in the assortment.  In addition, only the Original and Barbeque nutritional values calculated at 2 pts; the others were all 3.  I still like PopChips but will only buy bags of the flavors I know I will enjoy eating and not have to choke down.  I recommend that you try a bag of each flavor before you spring for a volume order.",2012-01-26
10,B001RVFDOO,5,BEWARE! THESE ARE ADDICTING!,"I had only tried the barbeque and sea salt and vinegar flavors that were available at my local Target in 3oz. bags.  I am so glad that I bought this variety pack! Not only did I discover other flavors that I enjoy, but it's single serving size so it's better for portion control.  I love popchips, and I find them way more satisfying than ordinary potato chips!",2012-01-18
11,B001RVFDOO,5,Yum yum love me POP Chips,I like these chips a lot! Now i have a whole 24 pack ! this is how i get my chips on while i Fish!,2012-01-17
12,B001RVFDOO,5,Can't beat the taste.,A while ago I got a bag of the BBQ at a store to go with my lunch and I loved these so when I was searching amazon and found these on subscribe and save I knew that this was something that I had to have for my lunches. I love the fact you get all the different flavors and as of yet I have not found a flavor I did not like. Being from England I am very picky about my flavors of chips or crisps as I would call them as there seems to be such limited flavors but this box gives me flavors I can't complain. I also love the fact that 5% fat is the fat content which just makes them an even better snack. My only issue now is that I have to fight my husband and son over them because they love them just as much as I do. I have now had to go to a box a month but even then I am not sure I can have enough for the month with the three of us eating them every chance we can.,2011-12-17
13,B001RVFDOO,4,Great chips - and tasty too,"Good flavorful chips - too bad the selection does not include jalape&ntilde;o or paramsan garlic. Packaging is difficult to open, but they fresh.",2011-12-07
